Attack Type,Frequency
DDoS-ICMP_Flood,42340
DDoS-UDP_Flood,31743
DDoS-TCP_Flood,26517
DDoS-SYN_Flood,24163
DDoS-PSHACK_Flood,23890
DDoS-RSTFINFlood,23823
DDoS-SynonymousIP_Flood,21441
DoS-UDP_Flood,19602
DoS-TCP_Flood,15938
DoS-SYN_Flood,12006
BenignTraffic,6387
Mirai-greeth_flood,5703
Mirai-udpplain,5244
Mirai-greip_flood,4509
DDoS-ICMP_Fragmentation,2685
MITM-ArpSpoofing,1835
DDoS-UDP_Fragmentation,1692
DDoS-ACK_Fragmentation,1635
DNS_Spoofing,1070
Recon-HostDiscovery,816
Recon-OSScan,575
Recon-PortScan,482
DoS-HTTP_Flood,454
VulnerabilityScan,207
DDoS-HTTP_Flood,146
DDoS-SlowLoris,131
DictionaryBruteForce,92
BrowserHijacking,37
SqlInjection,29
CommandInjection,25
XSS,15
Backdoor_Malware,13
Recon-PingSweep,10
Uploading_Attack,3
